sr_no	column_name	category	description	content_type	granularity	minimum_element	maximum_element	data_owner	confidence_level	criticality	data_volatility	update_frequency	data_type	format_constraints	regex_pattern	nullability	business_rules	data_rules	data_source
1	Company Name	Company Basics	Full legal/official name of the entity	Legal Name	One per Entity	2	255	Legal / Compliance	High	Critical	Static	Ad-hoc (Change Event)	VARCHAR(255)	Standard Case; UTF-8 Support	^[\w\s&.,\-\(\)'\u00C0-\u017F]+$	Not Null	Must match official government registration documents exactly	Trim leading/trailing spaces; No emojis	Company Registry / SEC Filings
2	Short Name	Company Basics	Commonly used short/abbreviated name	Alias / Brand Name	One per Entity	2	100	Marketing / Branding	Medium	Medium	Static	Ad-hoc	VARCHAR(100)	Title Case Preferred	^[\w\s&.\-]+$	Nullable	Used for UI/Mobile displays where full name is too long	Cannot contain restricted words	Marketing Assets / Website
3	Logo	Company Basics	Representative logo URL or image link	URL (Image)	One per Entity	10	2048	Marketing / Branding	High	Medium	Low	Ad-hoc	TEXT (URL)	Must point to valid image format (png; jpg; svg)	^https?:\/\/.*\.(?:png|jpg|jpeg|svg|webp)(?:\?.*)?$	Not Null	Link must resolve to a publicly accessible image; Transparent background preferred	Valid URL structure; Status 200 OK	Official Website / LinkedIn
4	Category	Company Basics	Business classification (Startup, MSME, SMB, Investor, VC)	Classification Tag	One per Entity	2	50	Strategy / Ops	High	High	Low	Annually	VARCHAR(50)	Pre-defined Enums	^(Startup|MSME|SMB|Enterprise|Investor|VC|Conglomerate)$	Not Null	Must map to internal standardized business taxonomy	Case insensitive match against Enum list	Internal Classification / 3rd Party DB
5	Year of Incorporation	Company Basics	Year the company was legally incorporated/founded	Year (YYYY)	One per Entity	4	4	Legal / Compliance	High	Critical	Static	One-time	INTEGER	YYYY format; No future dates	^(19|20) 	Not Null	Cannot be in the future; Cannot be before 1800 (generally)	Must be 4 digits numeric	Company Registry
6	Overview of the Company	Company Narrative	A high-level summary of what the company does and its market position.	Narrative Text	One per Entity	50	5000	Marketing / IR	Medium	Critical	Low	Annually	TEXT	Paragraph structure; Plain Text	[\s\S]*	Not Null	Should include industry; core product; and target audience keywords	Min length 50 chars; Max length 5000	Company Website / Pitch Deck
7	Nature of Company	Company Basics	Ownership structure (Private, Public, Subsidiary, etc.)	Classification	One per Entity	5	50	Legal / Compliance	High	High	Low	Ad-hoc (IPO/M&A)	VARCHAR(50)	Pre-defined Enums	^(Private|Public|Subsidiary|Partnership|Non-Profit|Govt)$	Not Null	Determines regulatory reporting requirements	Match against allowed Legal Structure Types	Legal Filings
8	Company Headquarters	Company Basics	Primary headquarters address and location	Geo-Location (City/Country)	One per Entity	5	255	Operations	High	Critical	Low	Ad-hoc	VARCHAR(255)	City; Country (ISO code preferred)	^[\w\s,.\-]+$	Not Null	Must specify at least City and Country	Validate against global cities database	Company Website
9	Countries Operating In	Geographic Presence	List of countries where the company actively operates	Geo-Location List	One to Many	3	5000	Strategy / Ops	Medium	Medium	Medium	Annually	TEXT	Comma-separated values or ISO Codes	^([A-Za-z\s]+)(,\s*[A-Za-z\s]+)*$	Nullable	Implies revenue generation or physical presence	Split by comma; Validate each against Country List	Annual Report/ Company Website(Added Company website)
10	Number of Offices (beyond HQ)	Geographic Presence	Number of additional offices excluding headquarters	Integer Count	One per Entity	1	10	Operations	Medium	Low	Medium	Annually	INTEGER	Positive Integer	^\d+$	Nullable	Excludes WeWork hot desks unless permanent; Excludes HQ	Must be >= 0	Company Careers Page/ Company Website (Added Company website)
11	Office Locations	Geographic Presence	Specific addresses/locations of all offices	Address List	One to Many	10	5000	Operations	Medium	Low	Medium	Ad-hoc	TEXT	Structured Text / JSON	[\s\S]*	Nullable	List must include City and Country for each entry	Parsing check if JSON; CSV check if text	Company Contact Page
12	Employee Size	People & Talent	Total headcount/employee size (full-time equivalents)	Numeric Range / Count	One per Entity	1	20	HR	High	High	Medium	Quarterly	VARCHAR(50)	Buckets (e.g. 11-50) or Exact Integer	^(\d+|\d+-\d+)$	Not Null	Includes FTEs; Excludes Contractors if possible	If range; Min < Max	LinkedIn / HR Tools
13	Hiring Velocity	People & Talent	Current open job roles count and breakdown by department	Metric / Text	One per Entity	0	1000	HR	Low	Medium	High	Monthly	TEXT	Descriptive stats or Integer count	[\s\S]*	Nullable	Indicates growth stage; High number = scaling	Parse integer if scalar provided	Job Boards / Careers Page
14	Employee Turnover	People & Talent	The annual percentage of employees leaving the organization.	Percentage	One per Entity	1	10	HR	Low	High	Medium	Annually	VARCHAR(10)	Percent format (e.g. 15%)	^\d{1,3}(\.\d{1,2})?%$	Nullable	High turnover (>20%) flags risk	Value between 0% and 100%	HR Reports / Glassdoor/Indeed (Added Indeed)
15	Average Retention Tenure	People & Talent	The average length of time an employee stays with the company.	Duration	One per Entity	1	20	HR	Low	Medium	Low	Annually	VARCHAR(20)	Years (e.g. 2.5 Years)	^\d+(\.\d+)?\s?(Years?|Months?)$	Nullable	calculated based on historical exit data	Parse numeric value	LinkedIn Insights
16	Pain Points Being Addressed	Business Model	Primary customer problems/pain points the company solves	Problem Statement	One to Many	20	2000	Product / Strategy	Medium	High	Low	Ad-hoc	TEXT	Free Text	[\s\S]*	Not Null	Must align with value proposition	Min words > 5	Pitch Deck / Website
17	Focus Sectors / Industries	Business Model	Target industries/sectors using GICS classification	Industry Classification	One to Many	3	500	Strategy	High	Critical	Low	Ad-hoc	VARCHAR(500)	Comma separated	^[\w\s&.,\-/]+$	Not Null	Use standard taxonomies (GICS / NAICS) where possible	Validate against Industry Master List	Pitch Deck
18	Services / Offerings / Products	Business Model	Core products, services, or offerings provided	Product List	One to Many	5	5000	Product	High	Critical	Medium	Quarterly	TEXT	Bulleted or Comma Separated	[\s\S]*	Not Null	Must list revenue-generating items	Keywords extraction	Website Products Page
19	Top Customers by Client Segments	Business Model	Top 10-50 customers grouped by segments	Client List	One to Many	10	5000	Sales	Medium	High	Medium	Quarterly	TEXT	Segment: [Client List]	[\s\S]*	Nullable	Only public references allowed	PII check (ensure no individuals named)	Marketing Case Studies
20	Core Value Proposition	Business Model	Detailed breakdown of specific benefits and unique selling points for customers.	Value Statement	One per Entity	20	2000	Product Marketing	Medium	Critical	Low	Annually	TEXT	Free Text	[\s\S]*	Not Null	Answer 'Why Us?'	Sentiment analysis: Positive	Marketing Collateral
21	Vision	Strategy & Culture	Long-term aspirational goal of the company	Mission Statement	One per Entity	10	500	Executive Office	High	Critical	Static	Ad-hoc	TEXT	Inspirational Text	[\s\S]*	Nullable	Future-oriented statement	Max chars 500	Annual Report
22	Mission	Strategy & Culture	Short-term actionable purpose and objectives	Mission Statement	One per Entity	10	500	Executive Office	High	Critical	Static	Ad-hoc	TEXT	Action-oriented Text	[\s\S]*	Nullable	Present tense; 'To [action]' format preferred	Max chars 500	Annual Report
23	Values	Strategy & Culture	Core principles guiding decisions and behavior	List of Values	One to Many	5	1000	HR / People	High	Medium	Low	Ad-hoc	TEXT	List or comma separated	[\s\S]*	Nullable	Defines culture code	Keyword check against positive sentiment dict	Careers Page
24	Unique Differentiators	Strategy & Culture	Unique features setting the company apart	Differentiation	One to Many	10	2000	Product Marketing	Medium	High	Medium	Bi-Annually	TEXT	Free Text	[\s\S]*	Nullable	Must define competitive moat	Comparative language detection	Pitch Deck
25	Competitive Advantages	Strategy & Culture	Sustainable edges like proprietary tech or network effects	Moat Description	One to Many	10	2000	Strategy	Medium	High	Medium	Annually	TEXT	Free Text	[\s\S]*	Nullable	Focus on Network Effects; IP; Cost; Brand	Keyword check: 'Patent'; 'Proprietary'; 'Exclusive'	Investor Presentation
26	Weaknesses / Gaps in Offering	Strategy & Culture	Notable gaps, limitations, or weaknesses in products/services	SWOT Analysis (Weakness)	One to Many	10	2000	Strategy / Product	Low	Medium	Medium	Quarterly	TEXT	Analytical Text	[\s\S]*	Nullable	Internal view or analyst view	Negative/Neutral sentiment allowed	Analyst Reports
27	Key Challenges and Unmet Needs	Strategy & Culture	Major strategic, operational, or tech challenges faced	Risk Factors	One to Many	10	2000	Strategy	Low	High	High	Quarterly	TEXT	Analytical Text	[\s\S]*	Nullable	High volatility based on market conditions	Contextual validity	Analyst Reports
28	Key Competitors	Competitive Landscape	Direct and indirect competitors in the market	Competitor List	One to Many	3	1000	Strategy	High	Critical	Medium	Quarterly	TEXT	Comma separated List	^[\w\s&.,\-/]+(,\s*[\w\s&.,\-/]+)*$	Not Null	List organizations attacking same TAM	Cross-ref with internal Company Database	Market Research
29	Technology Partners	Competitive Landscape	Strategic tech/alliance partners	Partner List	One to Many	3	1000	Product / Alliances	Medium	Medium	Medium	Bi-Annually	TEXT	Comma separated List	^[\w\s&.,\-/]+(,\s*[\w\s&.,\-/]+)*$	Nullable	Software/Hardware vendors or Integrators	Entity Validation	Partners Page
30	Interesting Facts	Company Narrative	2-3 unique/interesting facts or stories about the company	Trivia	One to Many	10	1000	Marketing	Low	Low	Static	One-time	TEXT	Free Text	[\s\S]*	Nullable	Used for 'Hook' in content	No hate speech / Profanity filter	About Us Page / Blog
31	Recent News	Company Narrative	Key news/events from the last 12-24 months with dates	Timeline / Events	One to Many	20	5000	PR / Marketing	Medium	Medium	High	Weekly	TEXT	Date - Headline - URL format preferred	[\s\S]*	Nullable	Includes PR; acquisitions; funding announcements	Date parser check where applicable	PR Newswire / Crunchbase
32	Website URL	Digital Presence	Primary official website URL	URL	One per Entity	10	500	IT / Marketing	High	Critical	Low	One-time (rare change)	VARCHAR(500)	Valid HTTPS URL; Avoid trailing slashes	^https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)$	Not Null	Core domain for all tracking metrics	Strip http; trailing slashes for deduplication	Official Registry
33	Quality of Website	Digital Presence	Assessment of site UX, clarity, messaging, professionalism	Qualitative Assessment	One per Entity	10	500	Marketing / Analysts	Low	Low	Low	Bi-Annually	TEXT	Free Text Notes	[\s\S]*	Nullable	Subjective view by analyst or AI agent	Sentiment flag extraction	Analyst Audit
34	Website Rating	Digital Presence	Overall website quality score out of 10	Score	One per Entity	1	4	Marketing / SEO	Medium	Medium	Medium	Monthly	DECIMAL(3,1)	Float from 1.0 to 10.0	^(10(\.0)?|[0-9](\.\d)?)$	Nullable	Used to assess digital maturity	Range constraint: 0.0 to 10.0	Lighthouse / HubSpot Grader
35	Website Traffic Rank	Digital Presence	Global and US traffic rank	Integer (Rank)	One per Entity	1	20	Marketing / SEO	High	Medium	High	Monthly	INTEGER	Positive Integer	^\d+$	Nullable	Lower is better; 1 = Top Rank	Must be non-negative	SimilarWeb / Semrush
36	Social Media Followers – Combined	Digital Presence	Total followers across all social platforms	Metric / Integer	One per Entity	1	20	Marketing	High	Medium	High	Daily	INTEGER	Aggregated Number	^\d+$	Not Null	Aggregates LI; TW; FB; IG; TikTok	Sum check = LI + TW + FB + IG	Social Media APIs
37	Glassdoor Rating	Digital Presence	Employee/review rating on Glassdoor	Rating (Float)	One per Entity	1	3	HR / Talent Acquisition	High	High	Medium	Monthly	DECIMAL(2,1)	Float from 1.0 to 5.0	^[1-5](\.\d)?$	Nullable	Indicates employer brand health	Range constraint: 1.0 to 5.0	Glassdoor API / Scrape
38	Indeed Rating	Digital Presence	Employee/review rating on Indeed	Rating (Float)	One per Entity	1	3	HR / Talent Acquisition	Medium	Medium	Medium	Monthly	DECIMAL(2,1)	Float from 1.0 to 5.0	^[1-5](\.\d)?$	Nullable	Supports blue-collar / large-scale hiring view	Range constraint: 1.0 to 5.0	Indeed
39	Google Reviews Rating	Digital Presence	Customer rating on Google Reviews	Rating (Float)	One per Entity	1	3	Marketing	High	High	High	Daily	DECIMAL(2,1)	Float from 1.0 to 5.0	^[1-5](\.\d)?$	Nullable	Customer satisfaction proxy (B2C heavy)	Range constraint: 1.0 to 5.0	Google Maps API
40	LinkedIn Profile URL	Digital Presence	Official LinkedIn company profile URL	URL (Social)	One per Entity	10	500	Marketing	High	High	Static	One-time	VARCHAR(500)	LinkedIn Domain URL	^https?:\/\/(www\.)?linkedin\.com\/company\/[A-Za-z0-9_\-]+\/?$	Nullable	Primary B2B social source of truth	Contains 'linkedin.com/company/'	LinkedIn
41	Twitter (X) Handle	Digital Presence	Official Twitter/X handle	Social Handle	One per Entity	2	30	Marketing	High	Medium	Low	One-time	VARCHAR(30)	Starts with @ or clean string	^@?[A-Za-z0-9_]{1,15}$	Nullable	Used for social listening and news triggers	Length <= 15 chars (X limit)	Twitter (X)
42	Facebook Page URL	Digital Presence	Official Facebook page URL	URL (Social)	One per Entity	10	500	Marketing	Medium	Medium	Static	One-time	VARCHAR(500)	FB Domain URL	^https?:\/\/(www\.)?facebook\.com\/[A-Za-z0-9_\.\-]+\/?$	Nullable	DTC / B2C Primary channel	Contains 'facebook.com'	Facebook
43	Instagram Page URL	Digital Presence	Official Instagram page URL	URL (Social)	One per Entity	10	500	Marketing	Medium	Medium	Static	One-time	VARCHAR(500)	IG Domain URL	^https?:\/\/(www\.)?instagram\.com\/[A-Za-z0-9_\.\-]+\/?$	Nullable	Visual branding channel	Contains 'instagram.com'	Instagram
44	CEO Name	Leadership	Name of the CEO/equivalent top executive	Person Name	One per Entity	2	100	Executive Office	High	Critical	Low	Annually	VARCHAR(100)	Standard Case	^[A-Za-z-–˜-¸-¿\s.\-']+$	Not Null	Highest authority point of contact	No digits allowed in string	LinkedIn / Company Website
45	CEO LinkedIn URL	Leadership	CEO's LinkedIn profile URL	URL (Profile)	One per Entity	10	500	Executive Office	High	High	Static	Ad-hoc	VARCHAR(500)	LinkedIn Profile URL	^https?:\/\/(www\.)?linkedin\.com\/in\/[A-Za-z0-9_\-]+\/?$	Nullable	Validates executive identity	Contains 'linkedin.com/in/'	LinkedIn
46	Key Business Leaders	Leadership	2-3 key executives: Name, Title, LinkedIn, Email, Phone	Composite Data / JSON	One to Many	10	2000	HR	Medium	Critical	Medium	Quarterly	JSON	Structured dict preferred (Name, Title)	[\s\S]*	Not Null	Required for enterprise B2B mapping	Valid JSON array or specific delimitation	LinkedIn / Clearbit
47	Warm Introduction Pathways	Leadership	Paths for warm intros (shared investors/board/alumni)	Graph / Relational	One to Many	0	1000	Sales / BD	Low	High	Medium	Ad-hoc	TEXT	Connection text description	[\s\S]*	Nullable	Accelerates deal cycles	Lookup common entity names	Relationship Intelligence Tools
48	Decision Maker Accessibility	Leadership	Ease of reaching decision makers (High/Med/Low + reasons)	Categorical Tag	One per Entity	3	250	Sales	Low	Medium	Low	Ad-hoc	VARCHAR(250)	Enum: High, Med, Low + Text	^(High|Medium|Low).*$	Nullable	Guides outbound outreach strategy	Matches Enums	Analyst Assessment
49	Company Contact Email	Contact Info	General company inquiry email	Email Address	One per Entity	5	255	Operations	High	High	Low	Static	VARCHAR(255)	Valid Email	^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$	Nullable	Usually info@; contact@; sales@	Standard Email syntax	Company Website
50	Company Phone Number	Contact Info	Primary company phone number	Phone Number	One per Entity	7	20	Operations	High	Medium	Low	Static	VARCHAR(20)	E.164 / International format	^\+?[1-9]\d{1,14}$	Nullable	Must include country code	Digits only after optional '+'	Company Website
51	Primary Contact Person's Name	Contact Info	Name of main point of contact	Person Name	One per Entity	2	100	Sales	Medium	High	Medium	Ad-hoc	VARCHAR(100)	Standard Case	^[A-Za-z\s.\-']+$	Nullable	Requires Data Privacy / GDPR compliance flag	No special chars except hyphens/apostrophes	CRM / Manual Input
52	Primary Contact Person's Title	Contact Info	Title/role of primary contact	Job Title	One per Entity	2	100	Sales	Medium	High	Medium	Ad-hoc	VARCHAR(100)	Text	^[\w\s&.\-]+$	Nullable	Determine BANT/Decision maker capability	Standardizes Title nomenclature	CRM
53	Primary Contact Person's Email	Contact Info	Email of primary contact	Email Address	One per Entity	5	255	Sales	High	Critical	Medium	Ad-hoc	VARCHAR(255)	Valid Email	^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$	Nullable	PII Subject; Business domain preferred	No freemail (gmail/yahoo) if B2B flag set	CRM / Apollo
54	Primary Contact Person's Phone Number	Contact Info	Phone of primary contact	Phone Number	One per Entity	7	20	Sales	High	High	Medium	Ad-hoc	VARCHAR(20)	E.164 Format	^\+?[1-9]\d{1,14}$	Nullable	PII Subject; Must be verifiable	Format standardizer applied	CRM
55	Awards & Recognitions	Reputation	Recent awards, certifications, or recognitions	List / Tags	One to Many	3	2000	Marketing	Medium	Low	Low	Annually	TEXT	Free Text list	^[\s\S]*$	Nullable	Increases Trust / Credibility score	Keyword check for Year/Org	Company Website
56	Brand Sentiment Score	Reputation	Overall brand sentiment (qualitative score + data sources)	Sentiment Metric	One per Entity	1	100	Marketing	Low	Medium	Medium	Quarterly	VARCHAR(100)	Number or Category (Positive/Neutral/Negative)	^(Positive|Neutral|Negative)$|^\d{1,3}$	Nullable	Aggregated from PR/News mentions	Must map to standard index 0-100 or Enum	Media Listening Tools
57	Event Participation	Reputation	Recent conferences/events participated in	Event List	One to Many	3	1000	Marketing	Low	Low	Medium	Quarterly	TEXT	Text	^[\s\S]*$	Nullable	Shows industry engagement	String parse	Social Media
58	Regulatory & Compliance Status	Risk & Compliance	Key certifications (SOC2, HIPAA, GDPR, etc.)	Compliance Tags	One to Many	3	500	Legal / SecOps	High	Critical	Low	Annually	VARCHAR(500)	Tag list	^(SOC2|HIPAA|GDPR|ISO27001|PCI-DSS).*$	Nullable	Gatekeeper for Enterprise IT purchasing	Matches industry standard frameworks	Trust Center Page
59	Legal Issues / Controversies	Risk & Compliance	Any ongoing/resolved legal issues or controversies	Risk Text	One to Many	0	5000	Legal / Compliance	Medium	Critical	High	Ad-hoc	TEXT	Free Text or N/A	`^(N/A	Nullable	Vital for Due Diligence	Flag words: 'sued'; 'indicted'; 'breach'	Court Records / News
60	Annual Revenues	Financials	Latest annual revenue figure (exact or estimated)	Financial Metric	One per Entity	1	20	Finance	Medium	Critical	Low	Annually	DECIMAL / VARCHAR	Currency string or BigInt	`^$?(?:\d{1,3}(?:,\d{3})+	Nullable	Often estimated for private cos	Must include currency code (USD assumed if blank)	SEC / Pitchbook / Estimates
61	Annual Profits	Financials	Latest annual profit/loss	Financial Metric	One per Entity	1	20	Finance	Medium	Critical	Medium	Annually	DECIMAL	Currency; Supports negative (loss)	`^-?$?(?:\d{1,3}(?:,\d{3})+	Nullable	EBITDA or Net Income preferred; Clarify which	Negative values allowed (Loss)	Annual Reports / SEC
62	Revenue Mix	Financials	Breakdown of revenue (% recurring vs. one-time/service)	Percentage Breakdown	One per Entity	5	50	Finance	Medium	High	Low	Annually	VARCHAR(50)	Range/Ratio (e.g. 80/20)	^\d{1,3}%?\s?\/\s?\d{1,3}%?$	Nullable	SaaS valuation depends on % recurring	Sum of parts must equal 100%	Investor Deck
63	Company Valuation	Financials	Most recent valuation or estimated value	Financial Metric	One per Entity	1	20	Finance	Medium	Critical	Medium	Quarterly	DECIMAL	Currency String	^\$?[\d,]+(\.\d{2})?[KkMmBb]?$	Nullable	Post-money valuation unless specified	Must be > 0	Pitchbook / TechCrunch
64	Year-over-Year Growth Rate	Financials	YoY revenue growth percentage	Percentage	One per Entity	1	10	Finance	Medium	Critical	Medium	Annually	VARCHAR(10)	Percent (e.g. +25%)	^[+-]?\d{1,3}(\.\d{1,2})?%$	Nullable	Key metric for 'Rule of 40'	Can be negative (contraction)	Annual Reports
65	Profitability Status	Financials	Current profitability (profitable/break-even/loss-making)	Categorical Status	One per Entity	5	20	Finance	High	Critical	Medium	Quarterly	VARCHAR(20)	Enum	^(Profitable|Break-even|Loss-making)$	Not Null	High-level filter for investors	Must match valid statuses	Financial Statements
66	Market Share (%)	Financials	Estimated market share in primary segment	Percentage	One per Entity	1	10	Strategy	Low	High	Low	Annually	VARCHAR(10)	Percent	^\d{1,3}(\.\d{1,2})?%$	Nullable	Usually self-reported or estimated	Value between 0% and 100%	Analyst Reports
67	Key Investors / Backers	Funding	Major investors or backers	Investor List	One to Many	3	2000	Finance	High	Critical	Static	Ad-hoc	TEXT	Comma separated list	^[\w\s&.,\-\(\)]+(,\s*[\w\s&.,\-\(\)]+)*$	Nullable	Signal of due diligence quality (e.g. Sequoia; a16z)	Verify entity names against Investor DB	Crunchbase / Pitchbook
68	Recent Funding Rounds	Funding	Details of recent funding: amount, date, stage	Structured History	One to Many	10	5000	Finance	High	Critical	Low	Ad-hoc	TEXT	Series - Date - Amount	^(\d{4}-\d{2}-\d{2}\s-\s\$?\d+(?:\.\d{2})?)(,\s*\d{4}-\d{2}-\d{2}\s-\s\$?\d+(?:\.\d{2})?)*$	Nullable	Standard stages: Seed; Series A; B; C...	Date format YYYY-MM or text	Crunchbase
69	Total Capital Raised	Funding	Cumulative capital raised to date	Financial Metric	One per Entity	1	20	Finance	High	Critical	Low	Ad-hoc	DECIMAL	Currency String	^\$?[\d,]+(\.\d{2})?[KkMmBb]?$	Nullable	Indicates runway and maturity	Must be >= Max(Single Round)	SEC Filings / Crunchbase
70	ESG Practices or Ratings	Sustainability	ESG practices, scores, or initiatives	Score / Text	One to Many	0	5000	Compliance	Medium	Medium	Medium	Annually	TEXT	Score (e.g. MSCI) or Description	[\s\S]*	Nullable	Growing importance for public markets	Reference standard frameworks (SASB/GRI)	ESG Reports
71	Sales Motion	Sales & Growth	Primary sales approach (PLG, Inside, Field Sales)	Categorical Tag	One to Many	3	100	Sales / Ops	Medium	High	Low	One-time	VARCHAR(100)	Enum / Text	^(PLG|Product-Led|Sales-Led|Field Sales|Channel|Hybrid).*$	Not Null	Determines CAC and GTM strategy	Match known Sales Models	GTM Strategy Deck
72	Customer Acquisition Cost (CAC)	Sales & Growth	Average cost to acquire a customer	Financial Metric	One per Entity	1	20	Sales / Finance	Medium	Critical	Medium	Quarterly	DECIMAL	Currency	^\$?[\d,]+(\.\d{2})?$	Nullable	Calculated: Sales+Marketing Spend / New Logos	Must be > 0	Internal Ops / Investor Update
73	Customer Lifetime Value (CLV)	Sales & Growth	Average revenue per customer over lifetime	Financial Metric	One per Entity	1	20	Sales / Finance	Medium	Critical	Medium	Quarterly	DECIMAL	Currency	^\$?[\d,]+(\.\d{2})?$	Nullable	Calculated: ARPU * Customer Lifetime	Must be > CAC (usually)	Internal Ops / Investor Update
74	CAC:LTV Ratio	Sales & Growth	Ratio of CAC to CLV (ideal >3:1)	Ratio	One per Entity	1	10	Sales / Finance	Medium	High	Medium	Quarterly	VARCHAR(10)	Ratio format (e.g. 3:1 or 3.0)	^\d+(\.\d+)?(:\d+)?$	Nullable	Health metric; Ideal > 3:1	Parse to float quotient	Investor Update
75	Churn Rate	Sales & Growth	Annual customer churn percentage	Percentage	One per Entity	1	10	Success / Product	Medium	Critical	Medium	Monthly	VARCHAR(10)	Percent	^(100(\.0{1,2})?|(\d{1,2})(\.\d{1,2})?)%$	Nullable	Gross or Net Retention flags required	Between 0% and 100%	SaaS Metrics Dashboard
76	Net Promoter Score (NPS)	Sales & Growth	Customer satisfaction score (NPS)	Integer Score	One per Entity	1	4	Success	Medium	Medium	High	Quarterly	INTEGER	Integer -100 to 100	^-?(100|[1-9]\d?|0)$	Nullable	NPS = %Promoters - %Detractors	Min -100; Max 100	Customer Survey
77	Customer Concentration Risk	Sales & Growth	Risk if top client >20% of revenue (yes/no + %)	Risk Flag	One per Entity	2	100	Finance / Risk	High	High	High	Quarterly	TEXT	Boolean + Context	^(Yes|No|High|Low).*$	Nullable	Critical risk if >20% revenue from 1 client	Flag if Yes	Audited Financials
78	Burn Rate	Sales & Growth	The amount of venture capital or cash the company spends monthly.	Financial Metric	One per Entity	1	20	Finance	Medium	Critical	High	Monthly	DECIMAL	Currency (Monthly)	^\$?\d{1,3}(,\d{3})*(\.\d{2})?[KkMmBb]?$	Nullable	Net Burn preferred over Gross	Must be > 0	Investor Updates
79	Runway	Sales & Growth	The number of months the company can operate before running out of cash.	Duration	One per Entity	1	10	Finance	Medium	Critical	High	Monthly	DECIMAL	Months (Number)	^\d+(\.\d+)?$	Nullable	Calculated: Cash / Net Burn	Critical if < 6 months	Investor Updates
80	Burn Multiplier	Sales & Growth	Efficiency metric (e.g., net burn / net new ARR)	Ratio	One per Entity	1	10	Finance	Medium	High	Medium	Quarterly	DECIMAL	Float	^\d+(\.\d+)?$	Nullable	Lower is better (<1 is efficient)	Float value	SaaS Benchmarks
81	Intellectual Property	Innovation	Patents, trademarks, or key IP owned	Asset List	One to Many	5	5000	Legal	High	Medium	Low	Annually	TEXT	List of Patent IDs / Names	[\s\S]*	Nullable	Defensive moat quantification	Regex capture Patent US-XXXX	Patent Office DB
82	R&D Investment	Innovation	R&D spend as % of revenue or absolute amount	Financial Metric	One per Entity	2	20	Finance	High	Medium	Low	Annually	VARCHAR(20)	Currency or Percent	^\$?[\d,]+(\.\d{2})?[KkMmBb]?$	Nullable	Proxy for innovation commitment	Check format	Annual Report
83	AI/ML Adoption Level	Innovation	Level of AI/ML use with specific examples	Categorical / Text	One per Entity	5	500	CTO / Product	Low	Medium	Medium	Bi-Annually	TEXT	Scale (None/Low/Core) + Text	[\s\S]*	Nullable	Differentiate buzzwords from core tech	Keyword extraction (LLM; Neural Networks)	Tech Blog / Product Docs
84	Tech Stack/Tools Used	Operations	Key software/tools/tech stack used	Technology List	One to Many	5	5000	Engineering	High	Medium	Medium	Ad-hoc	TEXT	Comma separated	[\s\S]*	Nullable	Frontend/Backend/Cloud/DevOps	Match against Tech Taxonomy (e.g. AWS; React)	StackShare / Job Posts
