sr_no	column_name	category	description	content_type	granularity	minimum_element	maximum_element	data_owner	confidence_level	criticality	data_volatility	update_frequency	data_type	format_constraints	regex_pattern	nullability	business_rules	data_rules	data_source
85	Cybersecurity Posture	Operations	Cybersecurity certifications or breach history	Compliance Status	One per Entity	5	1000	SecOps	Medium	Critical	High	Ad-hoc	TEXT	Free Text / Certs	[\s\S]*	Nullable	Check for ISO27001; SOC2	Negative news scan for breaches	Security Page / News
86	Supply Chain Dependencies	Operations	Critical suppliers and associated risks	Risk Analysis	One to Many	10	2000	Ops / Supply Chain	Low	Medium	High	Annually	TEXT	Supplier List + Risk Level	[\s\S]*	Nullable	Key for hardware/manufacturing companies	Identify Single Points of Failure	Supplier Portal
87	Geopolitical Risks	Operations	Geopolitical/macro risks (e.g., tariffs, regulations)	Risk Analysis	One to Many	10	5000	Strategy / Risk	Low	High	High	Quarterly	TEXT	Narrative	[\s\S]*	Nullable	Impact of trade wars; sanctions	Sentiment analysis: Negative	Risk Report
88	Macro Risks	Operations	External large-scale factors (political, economic) that could impact the business.	Risk Analysis	One to Many	10	5000	Strategy	Low	High	High	Quarterly	TEXT	PESTLE Analysis components	[\s\S]*	Nullable	Interest rates; inflation impact	Contextual validity	Annual Report
89	Diversity Metrics	People & Talent	Workforce diversity breakdown and DEI efforts	Demographic Data	One per Entity	10	1000	HR / DEI	Medium	Medium	Low	Annually	TEXT	Percentage breakdowns	[\s\S]*	Nullable	Gender; Ethnicity; etc.	Sum check where % provided	CSR Report
90	Remote Work Policy	People & Talent	Remote/hybrid policy (% remote + productivity impact)	Policy Tag	One per Entity	5	100	HR	High	Medium	Medium	One-time	VARCHAR(100)	Enum: Remote-First; Hybrid; On-Site	^(Remote|Hybrid|On-Site|Office-First).*$	Not Null	Talent attraction factor	Match standardized policy types	Careers Page
91	Training/Development Spend	People & Talent	Annual spend on employee training/development	Financial Metric	One per Entity	1	20	HR / Finance	Medium	Low	Low	Annually	VARCHAR(20)	Currency or Per Employee Avg	^\$?[\d,]+(\.\d{2})?(\s?\/|\s?per)?.*$	Nullable	Indicates investment in talent growth	Must be non-negative	HR Budget Reports
92	Partnership Ecosystem	Market	Key strategic partnerships or alliances	Relational Network	One to Many	10	5000	Strategy / Alliances	Medium	Medium	Medium	Bi-Annually	TEXT	List of Partners + Types	^[A-Za-z0-9 &.-]+(,\s*[A-Za-z0-9 &.-]+)*$	Nullable	Value-added resellers; Tech integrators	Entity recognition required	Partner Portal
93	Exit Strategy/History	Market	Potential or past events like IPOs, acquisitions, or mergers.	Strategic Milestone	One per Entity	10	2000	Executive Office	Low	High	Low	Ad-hoc	TEXT	Narrative	(?i).*(IPO|Acquisition).*	Nullable	IPO; M&A; SPAC plans	Keywords: 'IPO'; 'Acquisition'	Press Releases
94	Carbon Footprint/Environmental Impact	Sustainability	Estimated carbon footprint or env. impact	Environmental Metric	One per Entity	5	500	Sustainability	Medium	Medium	Low	Annually	VARCHAR(500)	Metric (CO2e tonnes) or Text	^[\d\.]+\s?CO2e$	Nullable	Required for Scope 1/2/3 reporting	Units must be specified (tCO2e)	ESG Report
95	Ethical Sourcing Practices	Sustainability	Practices for ethical sourcing/supply chain	Policy Description	One per Entity	10	2000	Supply Chain	Medium	Medium	Low	Annually	TEXT	Narrative	(?i).*(Fair Trade|Conflict-free).*	Nullable	Modern Slavery Act compliance etc.	Keyword check: 'Fair Trade'; 'Conflict-free'	ESG Report
96	Benchmark vs. Peers	Benchmarking	Key metrics compared to 3-5 peers	Comparative Analysis	One per Entity	10	5000	Strategy	Medium	High	Medium	Quarterly	TEXT	Narrative / Table	[\s\S]*	Nullable	Contextualizes performance	Must reference valid competitors	Analyst Reports
97	Future Projections	Forecasting	Projected revenue/growth for next 1-3 years	Financial Forecast	One per Entity	10	1000	Finance	Low	Critical	High	Quarterly	TEXT	Year - Metric - Value	(?i)[\s\S]*(202[6-9]|20[3-9][0-9]|Q[1-4])[\s\S]*	Nullable	Forward-looking statement disclaimer usually applies	Logical timeline (Future years only)	Investor Deck
98	Strategic Priorities	Forecasting	Top 3-5 year priorities, initiatives, resource allocation	Strategic Plan	One per Entity	10	2000	Executive Office	High	Critical	Medium	Annually	TEXT	Bulleted List	[\s\S]*	Not Null	Guides resource allocation	Top 3-5 items only	Annual Letter to Shareholders
99	Industry Associations / Memberships	Network	Key industry associations, membership level/role, benefits	Association List	One to Many	5	1000	Marketing / GR	High	Low	Static	Ad-hoc	TEXT	Comma Separated	^[^,]+(?:,\s*[^,]+)*$	Nullable	Lobbying power and standard setting	Verify against known Industry Bodies	Website Footer
100	Case Studies / Public Success Stories	Proof Points	2-5 public case studies with links and results	Content Assets	One to Many	10	5000	Marketing	Medium	High	Low	Ad-hoc	TEXT	Title - URL - Result	^.+ - https?:\/\/.+ - .+$	Nullable	Proof of value proposition	Must contain valid URLs	Website Resources
101	Go-to-Market Strategy	Go-to-Market	Channels, pricing, buyer personas	Strategy Narrative	One per Entity	20	5000	Sales / Marketing	Medium	Critical	Medium	Annually	TEXT	Narrative	(?i)[\s\S]*(plg|direct|channel)[\s\S]*	Not Null	Defines how they sell (Direct; Channel; PLG)	Keywords must align with Sales Motion	Internal Strategy Docs
102	Innovation Roadmap 	Innovation	Upcoming products/features, R&D pipeline status	Product Plan	One per Entity	10	2000	Product	Low	High	High	Quarterly	TEXT	Timeline	(?i)[\s\S]*(202[6-9]|20[3-9][0-9]|Q[1-4])[\s\S]*	Nullable	Highly sensitive/Confidential usually	Dates must be future	Product Launch Events
103	Product Pipeline	Innovation	Upcoming features, products, or services currently in development.	Product Plan	One to Many	10	2000	Product	Low	High	High	Quarterly	TEXT	List of Features	[\s\S]*	Nullable	Differentiate form Roadmap (Specific items vs Timeline)	Unreleased items only	Product Updates
104	Board of Directors / Advisors	Governance	Board/advisor composition, notable members, independence	Person List	One to Many	10	5000	Legal	High	Critical	Low	Annually	TEXT	Name - Role - Affiliation	[\s\S]*	Not Null	Corporate Governance requirement	Cross-ref with LinkedIn for validity	Team Page / SEC Filing
105	Company Introduction / Marketing videos	Digital Presence	Links to official video content or channel playlists.	URL (Video)	One to Many	10	500	Marketing	High	Medium	Low	Ad-hoc	TEXT	URLs (YouTube/Vimeo)	^https?:\/\/(www\.)?(youtube\.com|vimeo\.com|youtu\.be)\/.*$	Nullable	Rich media engagement	Must host on standard video platforms	YouTube Channel
106	Customer testimonial	Proof Points	Quotes or video links from verified customers regarding their experience.	Social Proof	One to Many	10	2000	Marketing	Medium	High	Low	Ad-hoc	TEXT	Quote - Author - Role	[\s\S]*	Nullable	Trust building asset	Must include Attribution (Who said it)	Website Homepage
107	Industry Benchmark Technology Adoption Rating	Benchmarking	A comparison of the company's tech stack maturity against industry peers.	Rating / Score	One per Entity	1	50	CTO	Low	Medium	Low	Annually	VARCHAR(50)	Score (1-10) or Tier (Laggard/Leader)	^([1-9]|10)|(Leader|Challenger|Laggard)$	Nullable	Digital Transformation indicator	Map to standard maturity model	Analyst Reports
108	Total Addressable Market (TAM)	Market	The total global demand or revenue opportunity for a product/service if 100% market share is achieved.	Market Metric	One per Entity	3	20	Strategy	Low	Critical	Low	Annually	VARCHAR(50)	Currency (Big Int)	^\$?[\d,]+(\.\d{2})?[KkMmBbTt]?$	Nullable	Top-down or Bottom-up calculation	Must be >= SAM; Units usually Billions	Investor Pitch
109	Serviceable Addressable Market (SAM)	Market	The portion of TAM that is within the company™s geographic and specialized reach.	Market Metric	One per Entity	3	20	Strategy	Low	Critical	Low	Annually	VARCHAR(50)	Currency (Big Int)	^\$?[\d,]+(\.\d{2})?[KkMmBbTt]?$	Nullable	TAM > SAM	Must be >= SOM; < TAM	Investor Pitch
110	Serviceable Obtainable Market (SOM)	Market	The specific percentage of SAM that the company realistically targets to capture in the short term.	Market Metric	One per Entity	3	20	Strategy	Medium	Critical	Medium	Annually	VARCHAR(50)	Currency (Big Int)	^\$?[\d,]+(\.\d{2})?[KkMmBbTt]?$	Nullable	SAM > SOM	Must be <= SAM	Investor Pitch
111	Work culture	Culture & People	Describes whether the workplace encourages collaboration and mutual support or promotes internal competition and sustained pressure.	Qualitative Attribute	One per Entity	5	500	HR / People Ops	Low	High	Medium	Bi-Annually	TEXT	Descriptive / Categorical	[\s\S]*	Nullable	Impacts retention and brand	Sentiment Analysis (Collaborative vs Toxic)	Glassdoor / Internal Survey
112	Manager quality	Culture & People	Indicates whether managers focus on coaching, mentoring, and long-term growth versus only driving task completion and short-term outcomes.	Qualitative Attribute	One per Entity	5	500	HR	Low	High	Medium	Bi-Annually	TEXT	Descriptive	[\s\S]*	Nullable	Top reason for attrition	Keywords: 'Micromanagement' vs 'Autonomy'	Employee Reviews
113	Psychological safety	Culture & People	Reflects how safe employees feel to speak openly, ask questions, challenge ideas, and admit mistakes without fear of punishment.	Score / Attribute	One per Entity	3	100	HR	Low	High	High	Bi-Annually	VARCHAR(100)	Score (Low/Med/High) or Text	^(Low|Medium|High|Safe|Toxic).*$	Nullable	Critical for innovation	Map to Risk Levels	Internal Pulse Surveys
114	Feedback culture	Culture & People	Shows whether feedback is continuous and constructive or limited to infrequent, formal review cycles.	Attribute	One per Entity	5	250	HR	Low	Medium	Low	Annually	TEXT	Descriptive	[\s\S]*	Nullable	Growth mindset indicator	Keywords: 'Real-time'; 'Annual only'	HR Policy
115	Diversity & inclusion	Culture & People	Evaluates gender balance, inclusion practices, and whether diversity initiatives are meaningful or purely symbolic.	Attribute / Score	One per Entity	5	500	HR / DEI	Medium	High	Medium	Annually	TEXT	Narrative or Stats	[\s\S]*	Nullable	Reputation risk	Check for specific ERGs or Stats	DEI Report
116	Ethical standards	Culture & People	Measures integrity, transparency, fairness, and how the organization handles ethical dilemmas and failures.	Qualitative Attribute	One per Entity	5	500	Legal / HR	Low	Critical	Low	Ad-hoc	TEXT	Narrative	[\s\S]*	Nullable	Foundation of trust	Keywords: 'Integrity'; 'Transparent'	Code of Conduct
117	Typical working hours	WorkLife Balance & Work Patterns	Defines whether work hours are fixed, flexible, or unpredictable on a daily basis.	Attribute	One per Entity	3	50	HR	Medium	High	Low	One-time	VARCHAR(50)	Range (e.g. 9-5) or 'Flexible'	^(\d{1,2}(?::\d{2})?\s?(?:AM|PM|am|pm)?\s?-\s?\d{1,2}(?::\d{2})?\s?(?:AM|PM|am|pm)?|Flexible|Fixed).*$	Nullable	Impacts burnout risk	Standardize time formats	Job Descriptions
118	Overtime expectations	WorkLife Balance & Work Patterns	Assesses whether overtime is occasional and situational or routinely expected.	Attribute	One per Entity	3	100	HR	Medium	Medium	Medium	Bi-Annually	VARCHAR(100)	Descriptive (Routine/Rare)	^(Routine|Rare|Seasonal|Frequent|Occasional).*$	Nullable	Compensated or Uncompensated flag	Keyword mapping	Employee Reviews
119	Weekend work	WorkLife Balance & Work Patterns	Indicates how often employees are required to work on weekends.	Frequency Attribute	One per Entity	3	50	HR	Medium	Medium	High	Bi-Annually	VARCHAR(50)	Frequency Enum	^(Never|Rarely|Occasionally|Frequently|Always).*$	Nullable	Red flag for talent	Standardize frequency enums	Employee Reviews
120	Remote / hybrid / on-site flexibility	WorkLife Balance & Work Patterns	Describes flexibility in choosing between remote, hybrid, or fully on-site work models.	Policy Tag	One per Entity	3	50	HR	High	High	Medium	Quarterly	VARCHAR(50)	Enum	^(Remote|Hybrid|On-Site|Flexible Choice).*$	Not Null	Top candidate requirement 2024+	Match standard models	Careers Page
121	Leave policy	WorkLife Balance & Work Patterns	Evaluates how easy it is to take leaves, including sick leave and mental health days.	Policy Attribute	One per Entity	5	500	HR	Medium	Medium	Low	Annually	TEXT	Narrative / Days Count	[\s\S]*	Nullable	Includes unlimited PTO policies	Check for 'Unlimited' or number of days	HR Handbook
122	Burnout risk	WorkLife Balance & Work Patterns	Measures whether the pace of work is intense but sustainable or leads to frequent burnout and firefighting.	Risk Level	One per Entity	3	20	HR / People Ops	Low	High	High	Bi-Annually	VARCHAR(20)	Enum (Low/Medium/High)	^(Low|Medium|High|Severe).*$	Nullable	High burnout risk correlates with churn	Map sentiment to risk levels	Employee Reviews
123	Central vs peripheral location	Location, Commute & Accessibility	Identifies whether the office is located in a central business area or on the city outskirts.	Location Attribute	One per Entity	3	50	Admin / Facilities	High	Medium	Low	One-time	VARCHAR(50)	Enum (CBD/Outskirts/Suburbs)	^(Central|Peripheral|CBD|Suburbs|Remote).*$	Nullable	Impacts commute and talent pool	Geo-spatial check	Office Address / Maps
124	Public transport access	Location, Commute & Accessibility	Assesses availability and convenience of public transport options near the office.	Accessibility Score	One per Entity	3	50	Admin / Facilities	High	Medium	Low	Static	VARCHAR(50)	Rating or Description	^(Poor|Good|Excellent|Metro Connected|Bus only).*$	Nullable	High importance for junior staff	Proximity check (< 1km)	Maps API
125	Cab availability and company cab policy	Location, Commute & Accessibility	Evaluates availability of cabs and whether the company provides transport support.	Policy / Availability	One per Entity	5	200	Admin / Facilities	Medium	Medium	Low	Annually	TEXT	Policy Text	[\s\S]*	Nullable	Safety factor for late shifts	Keywords: 'Shuttle'; 'Reimbursement'	HR Policy
126	Commute time from airport	Location, Commute & Accessibility	Measures travel time to the nearest airport, relevant for client-facing or travel-heavy roles.	Time Duration	One per Entity	1	20	Admin	High	Low	Static	One-time	INTEGER	Minutes	^\d+$	Nullable	Relevant for Sales/Consulting	Value > 0 minutes	Maps API
127	Office zone type	Location, Commute & Accessibility	Indicates whether the office is in a tech park, IT hub, or mixed-use commercial area.	Location Category	One per Entity	3	100	Admin	High	Low	Static	One-time	VARCHAR(100)	Enum	^(Tech Park|SEZ|Commercial|Residential|Mixed).*$	Nullable	Impacts amenities availability	Map zone classification	Maps API / Address
128	Area safety	Safety & Well-being	Evaluates safety of the surrounding area during both daytime and late hours.	Safety Score	One per Entity	3	50	Security / Admin	Medium	High	Low	Annually	VARCHAR(50)	Rating (Safe/Unsafe)	^(Safe|Moderate|Unsafe|High Crime).*$	Nullable	Duty of care metric	Crime rate index lookup	Crime Stats DB
129	Company safety policies	Safety & Well-being	Assesses company policies related to employee safety, including late-night transport and women safety measures.	Policy Attribute	One per Entity	5	500	HR / Security	High	Critical	Low	Annually	TEXT	Narrative	[\s\S]*	Nullable	Compliance requirement in some geos	Keywords: 'POSH'; 'Escort'; 'CCTV'	HR Handbook
130	Office infrastructure safety	Safety & Well-being	Reviews physical safety standards of office infrastructure and facilities.	Compliance Status	One per Entity	3	50	Facilities	High	Critical	Low	Annually	VARCHAR(50)	Compliance Enum	^(Compliant|Non-Compliant|Certified).*$	Nullable	Fire safety; Building code	Valid certification existence	Safety Audit Report
131	Emergency response preparedness	Safety & Well-being	Measures preparedness for medical, fire, or other emergency situations.	Process Maturity	One per Entity	5	500	Facilities	High	Critical	Low	Annually	TEXT	Drill frequency / Protocols	[\s\S]*	Nullable	ISO 45001 related	Protocol documentation	Internal Logs
132	Health support	Safety & Well-being	Evaluates quality of health insurance, OPD benefits, and mental health support.	Benefit Level	One per Entity	5	500	HR	High	Critical	Low	Annually	TEXT	List of Benefits	[\s\S]*	Nullable	Beyond basic insurance (e.g. Therapy)	Keywords: 'Mental Health'; 'OPD'	Benefits Guide
133	Onboarding and training quality	Learning & Growth Opportunities	Assesses effectiveness of onboarding programs and initial training.	Quality Rating	One per Entity	3	50	HR / L&D	Low	Medium	Medium	Bi-Annually	VARCHAR(50)	Rating or Enum	^(Poor|Average|Good|Structured|Ad-hoc).*$	Nullable	First 90 days retention driver	Derived from new hire sentiment surveys	Glassdoor / Survey
134	Learning culture	Learning & Growth Opportunities	Indicates availability of certifications, courses, and internal learning platforms.	Culture Attribute	One per Entity	5	500	HR / L&D	Medium	Medium	Low	Annually	TEXT	Resources List	[\s\S]*	Nullable	e.g. Udemy access; Stipends	Keywords: 'Udemy'; 'Coursera'; 'Budget'	Careers Page
135	Exposure quality	Learning & Growth Opportunities	Measures exposure to real-world problem solving versus repetitive or low-impact tasks.	Job Quality	One per Entity	5	500	HR / Engineering	Low	High	Medium	Bi-Annually	TEXT	Descriptive	[\s\S]*	Nullable	Critical for junior talent attraction	Analysis of role descriptions	Job Descriptions
136	Mentorship availability	Learning & Growth Opportunities	Evaluates access to experienced mentors and guidance.	Support Attribute	One per Entity	3	50	HR	Low	High	Medium	Bi-Annually	VARCHAR(50)	Enum (Formal/Informal/None)	^(Formal Program|Informal|None|Limited).*$	Nullable	accelerates career growth	Check for 'Mentorship Program'	HR Policy
137	Internal mobility	Learning & Growth Opportunities	Indicates ease of moving across roles or teams internally.	Mobility Score	One per Entity	3	50	HR	Medium	Medium	Medium	Annually	VARCHAR(50)	Enum (High/Med/Low)	^(High|Medium|Low|Frozen).*$	Nullable	Retention lever	% of roles filled internally	HR Reports
138	Promotion clarity	Learning & Growth Opportunities	Clarifies whether promotions are merit-based, time-based, and transparently defined.	Process Transparency	One per Entity	5	500	HR	Low	High	Medium	Annually	TEXT	Narrative	[\s\S]*	Nullable	Major dissatisfaction source	Keywords: 'Rubric'; 'Cycle'; 'Merit'	Employee Handbook
139	Tools and technology access	Learning & Growth Opportunities	Assesses access to modern tools, software, and technologies used in the industry.	Infrastructure Quality	One to Many	5	1000	IT / Ops	High	Medium	Medium	Ad-hoc	TEXT	Tool List	[\s\S]*	Nullable	Hardware/Software quality	Matches industry standards	Job Posts / Tech Blog
140	Role clarity	Role & Work Quality	Measures how clearly role responsibilities and expectations are defined.	Quality Rating	One per Entity	3	50	HR	Low	High	Medium	Ad-hoc	VARCHAR(50)	Enum (High/Low/Vague)	^(High|Medium|Low|Vague|Defined).*$	Nullable	Prevents scope creep	JD vs Reality check	Employee Reviews
141	Early ownership	Role & Work Quality	Assesses level of ownership and responsibility given early in the role.	Attribute	One per Entity	3	50	HR	Low	Medium	Medium	Ad-hoc	VARCHAR(50)	Enum (High/Low)	^(High|Low|Gradual|Immediate).*$	Nullable	Startup vs Corp differentiator	Context: 'Day 1 deployment'	Job Descriptions
142	Work impact	Role & Work Quality	Evaluates whether work impacts internal processes, customers, or revenue directly.	Impact Score	One per Entity	3	50	HR	Low	Medium	Low	Ad-hoc	VARCHAR(50)	Enum (High/Low/Strategic/Ops)	^(High|Medium|Low|Back-office|Front-line).*$	Nullable	Motivation factor	Departmental alignment	Org Chart
143	Execution vs thinking balance	Role & Work Quality	Indicates balance between execution-focused tasks and strategic or analytical thinking.	Role Attribute	One per Entity	3	50	HR	Low	Medium	Low	Ad-hoc	VARCHAR(50)	Ratio/Desc	^(Execution-heavy|Balanced|Strategy-focused).*$	Nullable	Suitability for different personas	Task analysis	Job Description
144	Automation level	Role & Work Quality	Measures reliance on automation versus manual or repetitive work.	Tech Maturity	One per Entity	3	50	Ops / Tech	Low	Medium	Medium	Annually	VARCHAR(50)	Enum (High/Low/Manual)	^(High|Medium|Low|Manual|Automated).*$	Nullable	Efficiency indicator	Tech stack inference	Tech Blog
145	Cross-functional exposure	Role & Work Quality	Assesses opportunities to collaborate with multiple teams or functions.	Collaboration Score	One per Entity	3	50	HR	Low	Medium	Low	Ad-hoc	VARCHAR(50)	Enum (Siloed/Collaborative)	^(Siloed|Collaborative|Matrix|Cross-functional).*$	Nullable	Growth factor	Matrix structure verification	Org Structure
146	Company maturity	Company Stability & Reputation	Identifies whether the company is a startup, scale-up, or mature enterprise.	Lifecycle Stage	One per Entity	3	50	Strategy	High	Critical	Low	Annually	VARCHAR(50)	Enum	^(Startup|Scale-up|Mature|Enterprise|Declining).*$	Not Null	Risk/Reward profile	Age + Revenue + Headcount rules	General Info
147	Brand value	Company Stability & Reputation	Evaluates brand recognition and perceived resume value.	Reputation Score	One per Entity	3	50	Marketing / HR	Low	High	Low	Annually	VARCHAR(50)	Tier (Tier 1/2/3)	^(Tier 1|Tier 2|Tier 3|Unkown|Unicorn).*$	Nullable	Resume weight	Search volume / Social Mentions	Google Trends
148	Client quality	Company Stability & Reputation	Assesses quality of clients and their standing in the industry.	Client Tier	One per Entity	3	50	Sales	Medium	High	Medium	Annually	VARCHAR(50)	Desc (Fortune 500/SMB/etc)	^(Fortune 500|Enterprise|SMB|Mid-market).*$	Nullable	Revenue stability proxy	Check Client List logos	Website
149	Layoff history	Company Stability & Reputation	Reviews past instances of layoffs, restructuring, or instability.	Risk History	One to Many	5	1000	HR / PR	High	Critical	High	Quarterly	TEXT	Date - % impacted	[\s\S]*	Nullable	Major stability red flag	Keywords: 'RIF'; 'Layoff'; 'Restructuring'	News / Layoffs.fyi
150	Fixed vs variable pay	Compensation & Benefits	Indicates proportion of fixed salary versus variable or performance-linked pay.	Pay Structure	One per Entity	3	50	HR / Finance	High	Critical	Low	Annually	VARCHAR(50)	Ratio (e.g. 70:30) or Description	^(\d{1,3}:\d{1,3}|Fixed Only|Variable Heavy).*$	Nullable	Sales roles typically high variable; Engineering high fixed	Sum of parts = 100 if ratio	Offer Letters / Glassdoor
151	Bonus predictability	Compensation & Benefits	Measures consistency and reliability of bonuses.	Financial Reliability	One per Entity	3	50	HR	Low	High	Medium	Annually	VARCHAR(50)	Enum (Guaranteed/Performance/Discretionary)	^(Guaranteed|Performance-linked|Discretionary|Unpredictable).*$	Nullable	Impacts total compensation realization	Map to reliability scale	Employee Reviews
152	ESOPs and long-term incentives	Compensation & Benefits	Evaluates ESOPs or long-term incentives and their actual realized value.	Equity Comp	One per Entity	5	1000	Finance / HR	Medium	Critical	Medium	Annually	TEXT	Narrative / Terms	[\s\S]*	Nullable	Wealth creation vehicle	Keywords: 'Vesting'; 'Strike Price'; 'RSU'	Offer Data / Blind
153	Family health insurance	Compensation & Benefits	Assesses health insurance coverage for employees and dependents.	Benefit Policy	One per Entity	3	500	HR	High	High	Low	Annually	VARCHAR(500)	Policy Details (Employee+Spouse+Kids)	[\s\S]*	Nullable	Standard for top-tier employers	Keywords: 'Dependents'; 'Parents'; 'Maternity'	Benefits Handbook
154	Relocation support	Compensation & Benefits	Indicates support provided for relocation expenses.	Policy Attribute	One per Entity	3	200	HR	Medium	Medium	Low	Ad-hoc	TEXT	Monetary Cap or Description	[\s\S]*	Nullable	Hiring lever for global talent	Check for amount or 'Full Support'	Careers Page
155	Lifestyle and wellness benefits	Compensation & Benefits	Reviews additional benefits such as meals, transport, and wellness programs.	Perks List	One to Many	3	2000	HR	Medium	Low	Medium	Annually	TEXT	List of Perks	[\s\S]*	Nullable	Gym; Food; Travel; etc.	List separation	Careers Page
156	Exit opportunities	Long-Term Career Signaling	Tracks typical career paths of former employees.	Career Data	One to Many	5	5000	Alumni / HR	Medium	High	Low	Annually	TEXT	List of Target Companies/Roles	[\s\S]*	Nullable	Where do people go next? (MAANG; Founders)	Entity recognition of Next Employer	LinkedIn Alumni Data
157	Skill relevance	Long-Term Career Signaling	Evaluates relevance of skills gained to the broader industry.	Skill Quality	One per Entity	3	50	L&D / Market	Low	High	Medium	Annually	VARCHAR(50)	Enum (High/Niche/Obsolete)	^(High|Medium|Low|Niche|Legacy).*$	Nullable	Employability index	Compare stack vs Market Trends	Job Descriptions
158	External recognition	Long-Term Career Signaling	Measures recognition and credibility among top-tier employers.	Reputation Score	One per Entity	3	50	Brand	Low	Medium	Low	Annually	VARCHAR(50)	Enum (High/Local/Global)	^(High|Medium|Low|Global|Unknown).*$	Nullable	Resume power	Prestige proxy	Market Survey
159	Network strength	Long-Term Career Signaling	Assesses strength of alumni and leadership networks.	Network Quality	One per Entity	3	50	Alumni	Low	Medium	Low	Static	VARCHAR(50)	Enum (Strong/Weak/Ex-Founder Mafia)	^(Strong|Weak|Moderate|Mafia).*$	Nullable	Access to VC or high roles later	Alumni success rate	LinkedIn
160	Global exposure	Long-Term Career Signaling	Indicates exposure to global clients, teams, or markets.	Experience Attribute	One per Entity	3	50	HR	Medium	Medium	Low	Static	VARCHAR(50)	Enum (Yes/No/Limited)	^(Yes|No|Limited).*$	Nullable	Cultural competency builder	Geographic presence check	Company Locations
161	Mission clarity	Values Alignment	Evaluates clarity and consistency of the company™s mission and purpose.	Alignment Score	One per Entity	3	50	Executive Office	Low	High	Low	Annually	VARCHAR(50)	Enum (Clear/Confusing/Generic)	^(Clear|Confusing|Generic|Inspiring).*$	Nullable	Engagement driver	Employee survey sentiment	Glassdoor / Survey
162	Sustainability and CSR	Values Alignment	Assesses commitment to sustainability and social responsibility.	CSR Rating	One per Entity	5	500	CSR / Impact	Medium	Medium	Medium	Annually	TEXT	Narrative / Score	[\s\S]*	Nullable	Gen-Z attraction lever	Greenwashing detection (verify claims)	Impact Report
163	Crisis behavior	Values Alignment	Reviews company behavior and decision-making during crises.	Ethics History	One to Many	10	2000	PR / Comms	High	Critical	High	Ad-hoc	TEXT	Narrative (Event + Response)	[\s\S]*	Nullable	True test of culture (e.g. Covid response)	Historical news analysis	News Archives